1,18,1
1,22,1
1,23,2
1,30,1
1,95,1
1,105,2
1,134,1
1,156,1
2,7,1
2,27,1
2,40,1
2,45,1
2,48,1
2,50,1
2,55,1
2,127,1
2,130,1
3,17,1
3,27,2
3,38,2
3,48,1
3,54,2
3,55,1
3,67,1
3,74,6
3,81,1
3,85,2
3,91,7
3,97,1
3,98,5
3,101,1
3,127,8
3,130,1
3,150,2
3,151,2
3,154,7
4,12,1
4,28,1
4,36,1
4,41,1
4,79,1
4,107,1
4,114,1
4,118,1
4,153,1
5,20,1
5,71,1
5,75,1
5,162,1
6,14,1
6,17,1
6,27,1
6,35,1
6,45,1
6,50,1
6,70,1
6,92,1
6,97,1
6,101,1
6,102,1
6,103,1
6,125,1
6,127,1
6,129,1
6,132,1
6,143,1
6,147,1
6,159,1
7,11,1
7,15,1
7,17,1
7,27,6
7,32,1
7,39,5
7,40,1
7,42,1
7,45,6
7,48,2
7,50,5
7,51,2
7,52,1
7,53,1
7,54,3
7,55,4
7,56,1
7,68,1
7,72,1
7,92,2
7,97,2
7,101,3
7,110,2
7,127,6
7,129,2
7,130,4
7,141,2
7,155,1
7,159,1
8,57,1
8,74,3
8,91,3
8,93,3
8,98,3
8,131,1
8,144,1
8,151,1
9,45,1
9,50,1
9,51,1
9,54,1
9,81,1
9,92,1
9,97,1
9,127,1
9,129,1
9,140,1
10,13,1
10,25,1
10,37,1
10,44,1
10,47,1
10,49,1
10,58,1
10,73,1
10,160,1
11,27,1
11,32,1
11,39,1
11,42,1
11,45,1
11,50,1
11,55,1
11,68,1
11,72,1
11,101,1
11,110,1
11,127,1
11,130,1
11,141,1
11,159,1
12,28,1
12,36,1
12,41,1
12,79,1
12,107,1
12,114,1
12,118,1
12,153,1
13,25,1
13,37,1
13,44,1
13,47,1
13,49,1
13,58,1
13,73,1
13,160,1
14,17,2
14,27,2
14,35,1
14,45,1
14,50,1
14,70,1
14,81,1
14,92,2
14,97,2
14,100,1
14,101,2
14,102,1
14,103,1
14,125,2
14,127,2
14,129,1
14,132,2
14,140,1
14,143,1
14,147,2
14,159,2
15,17,1
15,27,1
15,39,1
15,45,1
15,51,1
15,53,1
15,54,1
15,55,1
15,92,1
15,97,1
15,101,1
15,127,1
15,129,1
16,46,1
16,138,1
16,152,1
16,157,1
16,161,1
17,27,6
17,32,1
17,35,1
17,39,1
17,45,3
17,50,2
17,51,1
17,53,1
17,54,2
17,55,1
17,70,1
17,81,3
17,92,5
17,97,4
17,100,1
17,101,5
17,102,1
17,103,1
17,125,2
17,127,5
17,129,2
17,130,1
17,132,2
17,135,1
17,140,2
17,143,1
17,147,3
17,159,2
18,22,1
18,23,1
18,30,1
18,105,1
18,156,1
19,24,1
19,77,1
19,84,1
19,87,1
19,94,1
19,114,1
19,123,1
20,71,1
20,75,1
20,162,1
21,69,1
21,136,1
22,23,1
22,30,1
22,105,1
22,156,1
23,30,1
23,95,1
23,105,2
23,134,1
23,156,1
24,77,1
24,84,1
24,87,1
24,94,1
24,114,1
24,123,1
25,37,1
25,44,1
25,47,1
25,49,1
25,58,1
25,73,1
25,160,1
26,29,1
26,31,1
26,34,1
26,59,1
26,96,1
26,139,1
26,146,1
26,148,1
26,149,1
27,32,2
27,35,1
27,39,5
27,40,1
27,42,1
27,45,10
27,48,4
27,50,8
27,51,3
27,52,1
27,53,1
27,54,7
27,55,5
27,56,1
27,68,1
27,70,1
27,72,1
27,78,1
27,81,3
27,92,7
27,97,6
27,100,1
27,101,9
27,102,1
27,103,1
27,110,2
27,113,1
27,125,3
27,127,14
27,129,4
27,130,8
27,132,2
27,135,1
27,140,3
27,141,3
27,143,1
27,147,3
27,155,1
27,159,3
28,36,1
28,41,1
28,79,1
28,107,1
28,114,1
28,118,1
28,153,1
29,31,1
29,34,1
29,59,1
29,96,1
29,139,1
29,146,1
29,148,1
29,149,1
30,105,1
30,156,1
31,34,1
31,59,1
31,96,1
31,139,1
31,146,1
31,148,1
31,149,1
32,39,1
32,42,1
32,45,2
32,50,2
32,55,1
32,68,1
32,72,1
32,92,1
32,101,1
32,110,1
32,127,2
32,130,2
32,135,1
32,141,1
32,159,1
33,82,1
33,109,1
33,116,1
33,119,1
33,158,1
34,59,1
34,96,1
34,139,1
34,146,1
34,148,1
34,149,1
35,45,1
35,50,1
35,70,1
35,92,1
35,97,1
35,101,1
35,102,1
35,103,1
35,125,1
35,127,1
35,129,1
35,132,1
35,143,1
35,147,1
35,159,1
36,41,1
36,79,1
36,107,1
36,114,1
36,118,1
36,153,1
37,44,1
37,47,1
37,49,1
37,58,1
37,73,1
37,160,1
38,67,1
38,74,2
38,85,2
38,91,2
38,98,1
38,127,2
38,150,1
38,154,2
39,42,1
39,45,5
39,48,1
39,50,4
39,51,2
39,52,1
39,53,1
39,54,3
39,55,3
39,56,1
39,68,1
39,72,1
39,92,2
39,97,2
39,101,3
39,110,2
39,127,5
39,129,2
39,130,3
39,141,2
39,155,1
39,159,1
40,45,1
40,48,1
40,50,1
40,55,1
40,127,1
40,130,1
41,79,1
41,107,1
41,114,1
41,118,1
41,153,1
42,45,1
42,50,1
42,55,1
42,68,1
42,72,1
42,101,1
42,110,1
42,127,1
42,130,1
42,141,1
42,159,1
43,66,1
43,89,1
